heading_artikel-vor-reduktion,Artikel vor Reduktion,Item before reduction,Article avant réduction,Articolo prima dello sconto
heading_artikel,Artikel,Item,Article,Articolo
heading_bearbeitungscode-auswaehlen,Bearbeitungscode auswählen,Choose treatment code,Choisir le code de traitement,Scegliere un codice di trattamento
heading_choose-preismeldestelle,Erhebung,Survey,Enquête,Rilevazione
heading_danger-zone,Gefährlicher Abschnitt,Danger zone,Étape dangereuse !,Zona pericolosa
heading_information-about-preismeldung,Information über die Preismeldung,Information about price,Information sur l'article,Informazione sul prezzo
heading_information-about-warenkorbposition,Information über die Erhebungsposition (EP),Information about variety,Information sur la position (EP),Informazione sulla varietà
heading_kommentar-zum-aktuellen-monat,Kommentar zum aktuellen Monat,Comment about current month,Commentaire sur le mois actuel,Commento per il mese attuale
heading_kommunikation,Fragen und Antworten,Questions and answers,Questions et réponses,Domande e risposte
heading_login,Anmeldung,Login,Connexion,Login
heading_manage-preismeldestelle,Preismeldungen,Prices,Prix,Prezzi
heading_meine-notiz,Meine Notiz,My notes,Mes notes,I miei appunti
heading_pms-details,Angaben zur Preismeldestelle,Information about store,Informations sur le point de vente,Informazioni sul punto vendita
heading_pms-sort,Reihenfolge der Artikelliste,Order of items,Ordre de la liste d'article,Ordine della lista degli articoli
heading_preiserheber,Preiserheber/in,Price collector,Enquêteur/-trice,Rilevatore
heading_preismeldestelle,Preismeldestelle,Store,Point de vente,Punto vendita
heading_preismeldung-attributes,Produkteigenschaften,Item features,Caractéristiques du produit,Caratteristiche del prodotto
heading_settings,Einstellungen,Settings,Paramètres,Impostazioni
heading_validation-error,Validierungsfehler,Validation error,Erreur de validation,Errore di validazione
heading_vorperiode,Vorperiode,Previous period,Période précédente,Periodo precedente
heading_warenkorb_neu_preisreihe_hinzufügen,Neue Preisreihe hinzufügen,Add new price series,Ajouter une série de prix,Aggiungere nuova serie di prezzo
installed-software-version,Installierte Software-Version,Installed software version,Version du programme installé,Versione software installata
kommentar-autotext_abnormale-preisentwicklung-bestaetigt,Abnormale Preisentwicklung bestätigt.,Abnormal price change confirmed.,Variation de prix anormale confirmée.,Variazione del prezzo anomale confirmata.
kommentar-autotext_aktueller-aktionspreis-teuerer-normalpreis-vp,Aktueller Aktionspreis teuerer als Normalpreis VP bestätigt.,Current reduced price higher than normal price of previous period confirmed.,Prix actuel en action supérieur au prix normal de la période précédente confirmé,Prezzo scontato attuale più elevato rispetto al prezzo normale del periodo precedente confermato.
kommentar-autotext_aktueller-normalpreis-billiger-aktionspreis_vp,Aktueller Normalpreis billiger als/gleich Aktionspreis VP bestätigt.,Current normal price cheaper/equal to reduced price of previous period confirmed.,Prix normal actuel inférieur/égal au prix en action de la période précédente confirmé,Prezzo attuale non scontato più vantaggioso o uguale al prezzo scontato del periodo precedente confermato.
kommentar-autotext_artikeltext-unveraendert-bestaetigt,Artikeltext unverändert bestätigt.,Unchanged item name confirmed.,Description de l'article identique confirmée,Descrizione identica dell'articolo confermata.
kommentar-autotext_keine-ersatzprodukte,Keine Ersatzprodukte in Sortiment vorhanden.,No replacement items in range.,Pas d'article de remplacement dans l'assortiment,Non ci sono articoli di sostituzione nell'assortimento.
kommentar-autotext_keine-produkte,Keine Produkte in Sortiment vorhanden.,No items in range.,Pas d'article disponible dans l'assortiment,Non ci sono articoli nell'assortimento.
kommentar-autotext_presta-setzt-normalpreis,PRESTA beendet Preisreihe mit Normalpreis.,PRESTA ends price series on normal level.,PRESTA interrompt la série de prix avec un retour au prix normal. ,PRESTA interrompe la serie di prezzo con il prezzo non scontato.
kommentar-autotext_steigender-aktionspreis-bestaetigt,Steigender Aktionspreis bestätigt.,Increase of reduced price confirmed.,Prix en action à la hausse confirmé. ,Aumento del prezzo in azione confermato.
label_anzahl-fehlende-preis-r,Anzahl Code R,Number of code R,Nombre de code R,Numero di codici R
label_artikelnummer,Artikelnummer,Item number,Numéro d'article,Numero dell'articolo
label_artikeltext-geliefert,Artikeltext (geliefert),Item name (as delivered),Description de l'article (tel que livré),Descrizione dell'articolo rilevata
label_artikeltext,Artikeltext,Item name,Description de l'article,Descrizione dell'articolo
label_cancel-edit-continue-editing-line-1,Auf «Weiterbearbeiten» klicken um bei dieser Preismeldung zu bleiben,"Continue editing by clicking ""edit""","Cliquer sur ""continuer la saisie"" pour rester sur l'article actuel",Cliccare su « continuare il rilevamento » per rimanere sull’articolo attuale
label_cancel-edit-continue-editing-line-2,(Dateineingabe bleibt erhalten).,(data will be maintained),(les informations déjà saisies restent affichées),(le informazioni già inserite vengono visualizzate)
label_cancel-edit-ignore-changes-line-1,Auf «Änderungen verwerfen» klicken um diese Preismeldung zu verlassen,"Ingore changes by clicking ""discard""","Cliquer sur ""annuler"" pour quitter",Cliccare su « Annullare le modifiche » per uscire
label_cancel-edit-ignore-changes-line-2,(Dateneingabe geht verloren).,(data will get lost),(les informations déjà saisies sont perdues),(le informazioni già inserite sono perse)
label_cancel-edit-preismeldung-data-changed,Die Angaben der aktuellen Preismeldung wurden geändert!,Item data changed,Des informations sur l'article actuel ont été modifiées!,Delle informazioni sull’articolo attuale sono state modificate
label_basismenge,Basismenge,Initial quantity,Quantité initiale,Quantità di base
label_basispreis,Basispreis,Initial price,Prix initial,Prezzo di base
label_datum-vor-reduktion,Datum vor Reduktion,Date before reduction,Date avant la réduction,Data prima dello sconto
label_info-warenkorb_anzahl-preismeldungen,Anzahl Preismeldungen (Aktuell/Vorgabe),Number of items (recorded/required),Nombre d'articles (actuels/requis),Numero di articoli (rilevati/richiesti)
label_info-warenkorb_beispiele,Beispiele,Examples,Exemples,Esempi
label_info-warenkorb_code,Code,Code,Code,Codice
label_info-warenkorb_erfassungszeitraum,Erfassungszeitraum,Survey period,Période de relevé,Periodo di rilevazione
label_info-warenkorb_erlaubte-normalpreisentwicklung,Erlaubte Normalpreisentwicklung,Admitted normal price change,Évolution normale de prix admise,Evoluzione di prezzo normale ammessa
label_info-warenkorb_info,Info,Info,Info,Info
label_info-warenkorb_periodizitaet,Periodizität,Periodicity,Périodicité,Periodicità
label_info-warenkorb_position-im-warenkorb,Position im Warenkorb,Position in market basket,Position dans le panier-type,Posizione nel paniere tipo
label_info-warenkorb_preismeldung-wird-erhoben-im,Erhebungsposition wird erhoben im,Item is recorded in,Article relevé en,Articolo viene rilevato nel
label_info-warenkorb_standardmenge,Standardmenge,Standard quantity,Quantité standard,Quantità standard
label_internetlink,Internetlink,Web address,Lien internet,Link Internet
label_login_password,Passwort,Password,Mot de passe,Password
label_login_username,Benutzername,User name,Nom d'utilisateur,Nome utente
label_menge-vor-reduktion,Menge vor Reduktion,Quantity before reduction,Quantité avant réduction,Quantità prima dello sconto
label_neue-preisreihe-code-2,Neue Preisreihe: Vorperiode und aktuelle Periode bekannt (Code 2),New price series: current and last period known (Code 2),Nouvel article : période précédente et actuelle connues (code 2),Nuovo articolo: periodo precedente e attuale conosciuti (codice 2)
label_neue-preisreihe-code-3,Neue Preisreihe: Nur aktuelle Periode bekannt (Code 3),New price series: current period known (Code 2),Nouvel article : uniquement période actuelle connue (code 3),Nuovo articolo: periodo attuale conosciuto (codice 3)
label_no_preismeldung-selected,Keine Preismeldung selektiert,No item selected,Aucun article sélectionné,Nessun articolo selezionato
label_pms_adresse,Adresse,Address,Adresse,Indirizzo
label_pms_bemerkungen_erhebungsart,Bemerkungen zur Erhebungsart,Remark on type of survey,Remarque sur le type de relevé,Commenti sulla tecnica di rilevazione
label_pms_email,eMail,eMail,eMail,eMail
label_pms_erhebungsart_abgegeben,Papierliste durch PMS ausgefüllt,Paper form completed by store,Formulaire papier rempli par le point de vente,Modulo cartaceo completato dal punto vendita
label_pms_erhebungsart_email,eMail,eMail,eMail,eMail
label_pms_erhebungsart_internet,Internet,Internet,Internet,Internet
label_pms_erhebungsart_persoenlich,Papierliste vor Ort,Paper form on site,Formulaire papier ,Modulo di carta
label_pms_erhebungsart_telephone,Telefon,Telephone,Téléphone,Telefono
label_pms_erhebungsart_vor-ort-app,Tablet vor Ort,Tablet on site,Tablette sur le terrain,Tablet nel punto vendita
label_pms_erhebungsart,Erhebungsart,Survey type,Type de relevé,Tecnica di rilevazione
label_pms_erhebungsregion,Erhebungsregion,Survey region,Région de relevé,Regione di rilevazione
label_pms_fax,Fax,Fax,Fax,Fax
label_pms_kontaktperson_1,1. Kontaktperson,Contact 1,Personne de contact 1,Persona di contatto 1
label_pms_kontaktperson_2,2. Kontaktperson,Contact 2,Personne de contact 2,Persona di contatto 2
label_pms_kontaktperson_first-name,Vorname,First name,Prénom,Nome
label_pms_kontaktperson_person-function,Funktion,Function,Fonction,Funzione
label_pms_kontaktperson_surname,Name,Surname,Nom,Cognome
label_pms_language-code,Sprache,Language,Langue,Lingua
label_pms_mobile,Mobile,Mobile,Mobile,Cellulare
label_pms_name,Name,Name,Nom,Nome
label_pms_pmsGeschlossen_1,Ferien,Vacation,Vacances,Ferie
label_pms_pmsGeschlossen_2,geschlossen (temporär),Temporarily closed,Fermé temporairement,Chiuso (temporaneamente)
label_pms_pmsGeschlossen_3,Geschäftsaufgabe,Store closure,Cessation d'activité définitive,Chiusura del negozio
label_pms_pmsGeschlossen_4,anderes (bitte unter Zusatzinformation erläutern),other (please comment under complementary information),Autre (svp préciser dans informations supplémentaires),Altro (per favore precisare nel campo informazioni complementari)
label_pms_pmsGeschlossen,Verhinderungsgrund der Erhebung in PMS,Reason why shop data cannot be recorded this month,Raison du non-relevé,Motivo perché la rilevazione non può essere eseguita questo mese
label_pms_postcode,PLZ,Postal code,Code postal,CAP
label_pms_preismeldestellenummer,Preismeldestellen-Nummer,Store number,Numéro de PMS,Numero del punto vendita
label_pms_region,Region,Region,Région,Regione di rilevazione
label_pms_street,Strasse,Street,Rue,Via
label_pms_telephone,Telefon,Telephone,Téléphone,Telefono
label_pms_town,Ort,City,Ville,Città
label_pms_zusatzinformationen,Zusatzinformationen zur Preismeldestelle,Complementary information about store,Information complémentaire sur le point de vente,Informazioni complementari sul punto vendita
label_pms_anzeige-in-pms-liste,Anzeige in PMS-Liste,Listing,Positionnement dans la liste,Posizione in lista
label_pms_pms-liste-top,prioritär,top,prioritaire,prioritario
label_pms_pms-liste-normal,normal,normal,normal,normale
label_pms_zusatzname,Zusatzname,Complementary name,Nom complémentaire,Nome complementare
label_preis-gefuehrt-seit,Preisreihe seit,In survey since,Relevé depuis,Rilevato da
label_preis-vor-reduktion,Preis vor Reduktion,Price before reduction,Prix avant réduction,Prezzo prima dello sconto
label_preiserheber_email,eMail,eMail,eMail,eMail
label_preiserheber_erhebungsregion,Erhebungsregion,Region of survey,Région de relevé,Regione di rilevazione
label_preiserheber_fax,Fax,Fax,Fax,Fax
label_preiserheber_firstName,Vorname,First name,Prénom,Nome
label_preiserheber_languageCode,Sprache,Language,Langue,Lingua
label_preiserheber_mobilephone,Mobilnummer,Mobile,Mobile,Cellulare
label_preiserheber_postcode,PLZ,Postal code,Code postal,CAP
label_preiserheber_street,Strasse,Street,Rue,Via
label_preiserheber_surname,Nachname,Surname,Nom,Cognome
label_preiserheber_telephone,Festnetznummer,Telephone,Téléphone,Telefono fisso
label_preiserheber_town,Ort,City,Ville,Città
label_preiserheber_webseite,Webseite,Website,Site internet,Sito Internet
label_preismeldung-id,Preis-ID,Price-ID,ID-Prix,ID-Prezzo
label_preismeldungen,Preismeldungen,Prices,Prix,Prezzi
label_print_aktion,Aktion,Sale,Action,Azione
label_print_aktuell,aktuell,Actual period,Période actuelle,Periodo attuale
label_print_anzahl-code-r,Anzahl Code R,Number of code R,Nombre de code R,Numero di codici R
label_print_artikelnummer,Artikelnummer,Item number,Numéro d'article,Numero dell'articolo
label_print_artikeltext,Artikeltext,Item name,Description de l'article,Descrizione dell'articolo
label_print_bemerkungen,Bemerkungen,Remarks,Remarques,Commenti
label_print_chf,CHF,CHF,CHF,CHF
label_print_code,Code,Code,Code,Codice
label_print_information,Info,Info,Info,Info
label_print_menge-vor-reduktion,Menge vor Reduktion,Quantity before reduction,Quantité avant réduction,Quantità prima dello sconto
label_print_menge,Menge,Quantity,Quantité,Quantità
label_print_pm-id,Preis-ID,Price-ID,ID-Prix,ID-Prezzo
label_print_pos,EPno/Lfno,EPno/Lfno,EPno/Lfno,EPno/Lfno
label_print_positionsbezeichnung,Erhebungsposition,Variety,Position,Varietà
label_print_preis-vor-reduktion,Preis vor Reduktion,Price before reduction,Prix avant réduction,Prezzo prima dello sconto
label_print_preiszahl,# Preise,# Prices,# Prix,# Prezzi
label_print_preis,Preis,Price,Prix,Prezzo
label_print_produktmale,Produkteigenschaften,Item features,Caractéristiques du produit,Caratteristiche del prodotto
label_print_seite,Seite,Page,Page,Pagine
label_print_shop,Shop,Store,Point de vente,Punto vendita
label_print_standardmenge,Standardmenge,Standard quantity,Quantité standard,Quantità standard
label_print_stichtag,Erhebungsdatum,Date of survey,Date de relevé,Data di rilevazione
label_print_vorperiode,Vorperiode,Previous period,Période précédente,Periodo precedente
server-connection-url,URL des Datenbank-Servers,URL of the database-server,URL du serveur de la base de données,URL del server della banca dati
text_aktion,Aktion,Sale,Action,Azione
text_chf,CHF,CHF,CHF,CHF
text_code,Code,Code,Code,Codice
text_database-last-synced-at,Letzte Synchronisation,Database last synced at,Dernière synchronisation,Ultima sincronizzazione
text_database-successfully-deleted,Lokale Daten wurden erfolgreich gelöscht,Database successfully deleted,Données locales supprimées,I dati locali sono stati cancellati con successo
text_erhebungsmonat,Erhebungsmonat,Month of survey,Mois d'enquête,Mese di rilevazione
text_nicht_zutreffend,Nicht zutreffend,Not applicable,Pas applicable,Non applicabile
text_no,Nein,No,Non,No
text_not-specified,Nicht angegeben,Not specified,Non spécifié,Non specificato
text_preismeldung_erfasste,nicht gelieferte Preise,Prices to upload,Prix à transférer,Prezzi a caricare
text_preismeldung_heruntergeladene,erhaltene Preise,Prices received,Prix téléchargés,Prezzi scaricati
text_preismeldung_hochgeladene,gelieferte Preise,Prices uploaded,Prix transférés,Prezzi caricati
text_preismeldung_offen-erfasst,erfasste Preise,Prices done,Prix déjà relevés,Prezzi rilevati
text_preismeldung_offen-nicht-erfasst,zu erfassende Preise,Prices to do,Prix à relever,Prezzi non rilevati
text_saving-preiserheber,Preiserheber-Info wird gespeichert. Bitte warten...,Saving info about price collector. Please wait...,Les informations sur l'enquêteur/trice sont en cours de sauvegarde. Prière de patienter…,L'informazione relativa al rilevatore viene salvata. Attendere prego…
text_saving-settings,Einstellungen werden gespeichert. Bitte warten...,Saving settings. Please wait...,Les paramètres sont en cours de sauvegarde. Prière de patienter…,Le impostazioni vengono salvate. Attendere prego…
text_synchronizing-data,Datensynchronisierung läuft. Bitte warten...,Synchronizing data. Please wait...,La synchronisation des données est en cours. Prière de patienter…,Sincronizzazione in corso. Attendere prego…
text_textzeil_limitverletzung,Limitverletzung: Preisentwicklung.,Out of range: Price change.,Dépassement des limites: Variation de prix,Fuori limite: evoluzione dei prezzi.
text_textzeil_nicht_vergleichbar,Neuer und alter Artikel nicht vergleichbar!,Replacement item is not comparable to former item,Nouvel et ancien article pas comparables,Nuovo articolo non paragonabile con l'articolo precedente!
text_warenkorb_anzahlergebnisse,Treffer,Results found,Résultats,Risultati
text_yes,Ja,Yes,Oui,Si
validation_erhebungsart_required,Bitte erfassen Sie die Erhebungsart der Preismeldestelle,Please specify the survey type for this store,Veuillez svp préciser le type de relevé pour ce point de vente,Per favore indicare la tecnica di rilevazione del punto vendita
validation_erhebungsregion_required,Bitte erfassen Sie die Region der Preismeldestelle,Please specify the survey region for this store,Veuillez svp préciser la région de relevé pour ce point de vente,Per favore indicare la regione del punto vendita
validation_firstName_required,Bitte erfassen Sie den Vorname der 1. Kontaktperson.,Please specify the first name of contact 1.,Veuillez svp préciser le prénom de la personne de contact 1,Per favore indicare il nome della persona di contatto 1.
validation_formatted_number-out-of-range,"Ungültige Eingabe im Feld ""{{controlName}}"". Bitte Zahl zwischen {{minNumber}} und {{maxNumber}} eingegeben.","Invalid entry for ""{{controlName}}"". Number must be between {{minNumber}} and {{maxNumber}}.","Saisie non autorisée pour ""{{controlName}}"". Veuillez saisir un nombre entre {{minNumber}} et {{maxNumber}}.","Entrata non valida nel campo ""{{controlName}}"". Per favore indicare una cifra tra {{minNumber}} e {{maxNumber}}."
validation_formatted_required,"Feld ""{{controlName}}"" ist erforderlich.","""{{controlName}}"" is required.","Le champs ""{{controlName}}"" doit être saisi.","E necessario compilare il campo ""{{controlName}}""."
validation_frage-antworten,Bitte Frage im Kommunikationskanal beantworten.,Please answer question in communication stream.,Veuillez répondre à la question du dialogue,Per favore rispondere alla domanda nel campo comunicazione.
validation_languageCode_required,Bitte erfassen Sie die Sprache der Preismeldestelle.,Please specify the language for this store.,Veuillez saisir la langue du point de vente,Per favore indicare la lingua del punto vendita.
validation_name_required,Bitte erfassen Sie den Namen der Preismeldestelle.,Please specify the name of the store.,Veuillez saisir le nom du point de vente,Per favore indicare il nome del punto vendita.
validation_personFunction_required,Bitte erfassen Sie die Funktion der 1. Kontaktperson.,Please specify the function of contact 1.,Veuillez saisir la fonction de la personne de contact 1,Per favore indicare la funzione del punto vendita.
validation_postcode_required,Bitte erfassen Sie die PLZ der Preismeldestelle.,Please specify the postal code of the store.,Veuillez saisir le NPA du point de vente,Per favore indicare il CAP del punto vendita.
validation_produktMerkmale_erfassen,Bitte Produktmerkmale erfassen.,Please specify the product features.,Veuillez saisir les caractéristiques du produit,Per favore indicare il nome del punto vendita.
validation_street_required,Bitte erfassen Sie die Strasse der Preismeldestelle.,Please specify the street of the store.,Veuillez saisir l'adresse du point de vente,Per favore indicare la via del punto vendita.
validation_surname_required,Bitte erfassen Sie den Name der 1. Kontaktperson.,Please specify the surname of contact 1.,Veuillez saisir le nom de la personne de contact 1,Per favore indicare il nome della persona di contatto 1.
validation_town_required,Bitte erfassen Sie den Ort der Preismeldestelle.,Please specify the city of the store.,Veuillez saisir la localité du point de vente,Per favore indicare la città del punto vendita.
