Code;Parent;Lvl;Name_en;Name_de;Name_fr;Name_it;Desc_en;Desc_de;Desc_fr;Desc_it;POSTYP_Title;POSTYP_Text
"1061";"1058";"6";"";"Andere Trockenteigwaren";"Autres pâtes alimentaires";"Altri tipi di pasta alimentare";"";"";"";"";"6";""
"1510";"1058";"6";"";"Frischteigwaren, mit/ohne Füllung";"Pâtes fraîches et pâtes fraîches farcies";"Pasta fresca e pasta fresca ripiena";"";"";"";"";"6";""
"1065";"1002";"5";"Other cereal products";"Andere Getreideprodukte";"Autres produits céréaliers";"Altri prodotti a base di cereali";"";"";"";"";"4";""
"1066";"1065";"6";"";"Teig";"Pâte à gâteau";"Pasta per torte";"";"";"";"";"5";""
"1067";"1066";"7";"";"Kuchenteig";"Pâte à gâteau brisée";"Pasta per crostate";"";"";"";"";"6";""
"1068";"1066";"7";"";"Blätterteig";"Pâte à gâteau feuilletée";"Pasta sfoglia";"";"";"";"";"6";""
"1071";"1066";"7";"";"Pizzateig";"Pâte à pizza";"Pasta per pizza";"";"";"";"";"6";""
"1069";"1065";"6";"";"Cerealien, Müesli";"Céréales, muesli";"Cereali, Muesli";"";"";"";"";"6";""
"1070";"1065";"6";"";"Getreideriegel";"Bâtons de céréales";"Bastoncini ai cereali";"";"";"";"";"6";""
"1074";"1001";"4";"Meat, cold cuts and sausages";"Fleisch, Fleischwaren";"Viande, Charcuterie et Saucisses";"Carni e preparati di carne";"";"";"";"";"3";""
"1075";"1074";"5";"Meat, fresh or frozen";"Fleisch, frisch oder tiefgekühlt";"Viande, fraîche ou congelée";"Carne, fresca o surgelata";"";"";"";"";"3";""
"1076";"1075";"6";"Beef";"Rindfleisch";"Viande de boeuf";"Carne di manzo";"";"";"";"";"4";""
"1077";"1076";"7";"Entrecôte";"Entrecôte";"Entrecôte";"Entrecôte";"";"";"";"";"6";""
"1078";"1076";"7";"";"Rindsfilet";"Filet de boeuf";"Filetto di manzo";"";"";"";"";"6";""
"1079";"1076";"7";"";"Rindsplätzli";"Tranche de boeuf";"Scaloppina di manzo";"";"";"";"";"6";""
"1080";"1076";"7";"";"Rindsbraten";"Rôti de boeuf";"Arrosto di manzo";"";"";"";"";"6";""
"1081";"1076";"7";"";"Rindshohrücken";"Côte de boeuf";"Costata di manzo";"";"";"";"";"6";""
"1086";"1076";"7";"";"Rumpsteak";"Romsteck";"Bistecca";"";"";"";"";"6";""
"1082";"1076";"7";"";"Siedfleisch";"Bouilli de boeuf";"Bollito di manzo";"";"";"";"";"6";""
"1083";"1076";"7";"";"Rindsvoressen";"Ragoût de boeuf";"Spezzatino di manzo";"";"";"";"";"6";""
"1084";"1076";"7";"";"Gehacktes Rindfleisch";"Viande de boeuf hachée";"Carne di manzo macinata";"";"";"";"";"6";""
"1085";"1076";"7";"";"Geschnetzeltes Rindfleisch";"Emincé de boeuf";"Sminuzzato di manzo";"";"";"";"";"6";""
"1088";"1075";"6";"Veal";"Kalbfleisch";"Viande de veau";"Carne di vitello";"";"";"";"";"4";""
"1089";"1088";"7";"";"Kalbsplätzli";"Tranche de veau";"Scaloppina di vitello";"";"";"";"";"6";""
"1090";"1088";"7";"";"Kalbsfilet";"Filet mignon de veau";"Filetto di vitello";"";"";"";"";"6";""
"1091";"1088";"7";"";"Kalbsbraten";"Rôti de veau";"Arrosto di vitello";"";"";"";"";"6";""
"1092";"1088";"7";"";"Kalbsvoressen";"Ragoût de veau";"Spezzatino di vitello";"";"";"";"";"6";""
"1093";"1088";"7";"";"Geschnetzeltes Kalbfleisch";"Emincé de veau";"Sminuzzato di vitello";"";"";"";"";"6";""
"1094";"1088";"7";"";"Kalbskoteletts";"Côtelette de veau";"Costoletta di vitello";"";"";"";"";"6";""
"1097";"1075";"6";"Pork";"Schweinefleisch";"Viande de porc";"Carne di maiale";"";"";"";"";"4";""
"1098";"1097";"7";"";"Schweinsplätzli";"Tranche de porc";"Scaloppina di maiale";"";"";"";"";"6";""
"1099";"1097";"7";"";"Schweinsfilet";"Filet mignon de porc";"Filetto di maiale";"";"";"";"";"6";""
"1100";"1097";"7";"";"Schweinskoteletts";"Côtelette de porc";"Costoletta di maiale";"";"";"";"";"6";""
"1101";"1097";"7";"";"Schweinsbraten";"Rôti de porc";"Arrosto di maiale";"";"";"";"";"6";""
"1102";"1097";"7";"";"Schweinsvoressen";"Ragoût de porc";"Spezzatino di maiale";"";"";"";"";"6";""
"1103";"1097";"7";"";"Geschnetzeltes Schweinefleisch";"Emincé de porc";"Sminuzzato di maiale";"";"";"";"";"6";""
"1107";"1075";"6";"Lamb";"Schaffleisch";"Viande d'agneau";"Carne ovina";"";"";"";"";"4";""
"1108";"1107";"7";"";"Lammgigot";"Gigot d'agneau";"Cosciotto di agnello";"";"";"";"";"6";""
"1109";"1107";"7";"";"Lammkoteletts";"Côtelette d'agneau";"Costoletta di agnello";"";"";"";"";"6";""
"1111";"1107";"7";"";"Lammnierstück";"Carré d'agneau";"Carré di agnello";"";"";"";"";"6";""
"1115";"1075";"6";"Poultry";"Geflügel";"Volaille";"Pollame";"";"";"";"";"4";""
"1116";"1115";"7";"";"Geflügel, frisch";"Volaille fraîche";"Pollame fresco";"";"";"";"";"5";""
"1117";"1116";"8";"";"Poulet ganz";"Poulet entier";"Pollo intero";"";"";"";"";"6";""
"1118";"1116";"8";"";"Pouletbrust";"Poitrine de poulet";"Petto di pollo";"";"";"";"";"6";""
"1119";"1116";"8";"";"Geschnetzeltes Pouletfleisch";"Emincé de poulet";"Sminuzzato di pollo";"";"";"";"";"6";""
"1120";"1116";"8";"";"Anderes Pouletfleisch";"Autre viande de poulet";"Altra carne di pollo";"";"";"";"";"6";""
"1121";"1116";"8";"";"Truthahn, frisch";"Dinde fraîche";"Tacchino fresco";"";"";"";"";"6";""
"1122";"1116";"8";"";"Anderes frisches Geflügel";"Autre volaille fraîche";"Altro pollame fresco";"";"";"";"";"6";""
"1123";"1115";"7";"";"Geflügel, tiefgekühlt";"Volaille surgelée";"Pollame surgelato";"";"";"";"";"5";""
"1130";"1123";"8";"";"Pouletfleisch, tiefgekühlt";"Viande de poulet surgelée";"Carne di pollo surgelata";"";"";"";"";"6";""
"1133";"1075";"6";"Other meat";"Anderes Fleisch";"Autre viande";"Altra carne";"";"";"";"";"4";""
"1134";"1133";"7";"";"Pferdefleisch";"Viande de cheval";"Carne di cavallo";"";"";"";"";"6";""
"1135";"1133";"7";"";"Wild";"Gibier";"Selvaggina";"";"";"";"";"6";""
"1136";"1133";"7";"";"Kaninchen";"Lapin";"Coniglio";"";"";"";"";"6";""
"1137";"1133";"7";"";"Innereien";"Abats";"Frattaglie";"";"";"";"";"5";""
"1138";"1137";"8";"";"Leber";"Foie";"Fegato";"";"";"";"";"6";""
"1144";"1074";"5";"Processed meat and sausages";"Fleisch- und Wurstwaren";"Produits carnés et saucisses";"Prodotti di carne e salumi";"";"";"";"";"3";""
"1145";"1144";"6";"Sausages";"Wurstwaren";"Saucisses";"Salumi";"";"";"";"";"4";""
"1146";"1145";"7";"";"Cervelat";"Cervelas";"Cervelat";"";"";"";"";"6";""
"1147";"1145";"7";"";"Landjäger";"Gendarme";"Landjäger";"";"";"";"";"6";""
"1148";"1145";"7";"";"Kalbsbratwurst";"Saucisse à rôtir de veau";"Salsiccia di vitello da arrostire";"";"";"";"";"6";""
"1149";"1145";"7";"";"Wienerli";"Viennes";"Wienerli";"";"";"";"";"6";""
"1150";"1145";"7";"";"Salami";"Salami";"Salame";"";"";"";"";"6";""
"1151";"1145";"7";"";"Andere Wurstwaren";"Autres types de saucisses";"Altri salumi";"";"";"";"";"6";""
"1170";"1144";"6";"Processed meat and cooked meat";"Fleischwaren und zubereitetes Fleisch";"Produits carnés et viande cuisinée";"Prodotti di carne e preparati di carne";"";"";"";"";"4";""
"1155";"1170";"7";"";"Fleischwaren";"Produits carnés";"Prodotti di carne";"";"";"";"";"5";""
"1156";"1155";"8";"";"Schinken, gekocht";"Jambon cuit";"Prosciutto cotto";"";"";"";"";"6";""
"1157";"1155";"8";"";"Aufschnitt";"Charcuterie";"Affettato";"";"";"";"";"6";""
"1158";"1155";"8";"";"Trockenfleisch";"Viande séchée";"Carne secca";"";"";"";"";"6";""
"1159";"1155";"8";"";"Rohschinken";"Jambon cru";"Prosciutto crudo";"";"";"";"";"6";""
"1160";"1155";"8";"";"Rohesspeck";"Lard cru";"Lardo crudo (pancetta)";"";"";"";"";"6";""
"1161";"1155";"8";"";"Kochspeck";"Lard à cuire";"Lardo da cucina";"";"";"";"";"6";""
"1162";"1155";"8";"";"Andere Fleischwaren";"Autre type de charcuterie";"Altri prodotti di carne";"";"";"";"";"6";""
"1169";"1170";"7";"";"Zubereitetes Fleisch";"Viande cuisinée";"Preparati di carne";"";"";"";"";"5";""
"1171";"1169";"8";"";"Roastbeef, gebraten";"Rosbif rôti";"Roastbeef arrostito";"";"";"";"";"6";""
"1174";"1169";"8";"";"Geflügel, gebraten";"Volaille rôtie";"Pollame arrostito";"";"";"";"";"6";""
"1175";"1169";"8";"";"Anderes zubereitetes Fleisch";"Autre viande cuisinée";"Altri preparati di carne";"";"";"";"";"6";""
"1179";"1001";"4";"Fish, crustaceans and seafood";"Fisch und Fischwaren";"Poissons, crustacés et fruits de mer";"Pesce e preparati di pesce";"";"";"";"";"3";""
"1180";"1179";"5";"Fresh fish";"Fische, frisch";"Poissons frais";"Pesce fresco";"";"";"";"";"4";""
"1181";"1180";"6";"";"Inländische Fische";"Poissons du pays";"Pesce indigeno";"";"";"";"";"6";""
"1182";"1180";"6";"";"Ausländische Fische";"Poissons étrangers";"Pesce importato";"";"";"";"";"6";""
"1183";"1180";"6";"";"Schalen- und Krustentiere";"Crustacés et fruits de mer";"Crostacei e frutti di mare";"";"";"";"";"6";""
"1187";"1179";"5";"Frozen fish";"Fische, tiefgekühlt";"Poissons congelés";"Pesce surgelato";"";"";"";"";"4";""
"1188";"1187";"6";"";"Panierte Fische";"Poissons panés";"Pesce impanato";"";"";"";"";"6";""
"1189";"1187";"6";"";"Unpanierte Fische";"Poissons non panés";"Pesce non impanato";"";"";"";"";"6";""
"1190";"1187";"6";"";"Fischzubereitungen";"Préparations à base de poisson";"Preparati di pesce";"";"";"";"";"6";""
"1191";"1187";"6";"";"Schalen- und Krustentiere";"Crustacés et fruits de mer";"Crostacei e frutti di mare";"";"";"";"";"6";""
"1192";"1179";"5";"Tinned fish and smoked fish";"Fischkonserven und geräucherter Fisch";"Conserves de poisson et poisson fumé";"Conserve di pesce e pesce affumicato";"";"";"";"";"4";""
"1193";"1192";"6";"";"Thon";"Thon";"Tonno";"";"";"";"";"6";""
"1194";"1192";"6";"";"Geräucherter Fisch";"Poisson fumé";"Pesce affumicato";"";"";"";"";"6";""
"1198";"1001";"4";"Milk, cheese and eggs";"Milch, Käse, Eier";"Lait, fromage, oeufs";"Latte, formaggi, uova";"";"";"";"";"3";""
"1199";"1198";"5";"Milk";"Milch";"Lait";"Latte";"";"";"";"";"3";""
"1200";"1199";"6";"Whole milk";"Vollmilch";"Lait entier";"Latte intero";"";"";"";"";"4";""
"1201";"1200";"7";"";"Vollmilch pasteurisiert";"Lait entier pasteurisé";"Latte intero, pastorizzato";"";"";"";"";"6";""
"1202";"1200";"7";"";"Vollmilch UHT";"Lait entier UHT";"Latte intero UHT";"";"";"";"";"6";""
"1203";"1200";"7";"";"Biomilch";"Lait bio";"Latte bio";"";"";"";"";"6";""
"1207";"1199";"6";"Other type of milk";"Andere Milch";"Autre type de lait";"Altro latte";"";"";"";"";"4";""
"1208";"1207";"7";"";"Drinkmilch pasteurisiert";"Lait drink pasteurisé";"Latte drink pastorizzato";"";"";"";"";"6";""
"1209";"1207";"7";"";"Drinkmilch UHT";"Lait drink UHT";"Latte drink UHT";"";"";"";"";"6";""
"1210";"1207";"7";"";"Magermilch";"Lait écrémé";"Latte scremato";"";"";"";"";"6";""
"1211";"1207";"7";"";"Milchpulver für Babynahrung";"Lait en poudre pour bébé";"Latte in polvere per bebè";"";"";"";"";"6";""
"1212";"1198";"5";"Cheese";"Käse";"Fromage";"Formaggio";"";"";"";"";"3";""
"1218";"1212";"6";"Hard and semi-hard cheese";"Halbhart- und Hartkäse";"Fromage à pâte dure et mi-dure";"Formaggio a pasta dura e semidura";"";"";"";"";"4";""
"1213";"1218";"7";"";"Hartkäse";"Fromage à pâte dure";"Formaggio a pasta dura";"";"";"";"";"5";""
"1214";"1213";"8";"";"Emmentaler";"Emmental";"Emmental";"";"";"";"";"6";""
"1215";"1213";"8";"";"Greyerzer";"Gruyère";"Gruyère";"";"";"";"";"6";""
"1216";"1213";"8";"";"Parmesan";"Parmesan";"Parmigiano";"";"";"";"";"6";""
"1217";"1213";"8";"";"Anderer Hartkäse";"Autre fromage à pâte dure";"Altri formaggi a pasta dura";"";"";"";"";"6";""
"1221";"1218";"7";"";"Halbhartkäse";"Fromage à pâte mi-dure";"Formaggio a pasta semidura";"";"";"";"";"5";""
"1222";"1221";"8";"";"Appenzeller";"Appenzeller";"Appenzello";"";"";"";"";"6";""
"1223";"1221";"8";"";"Tilsiter";"Tilsit";"Tilsiter";"";"";"";"";"6";""
"1224";"1221";"8";"";"Raclettekäse";"Fromage à raclette";"Formaggio per raclette";"";"";"";"";"6";""
"1225";"1221";"8";"";"Andere inländische Halbhartkäse";"Autre fromage à pâte mi-dure du pays";"Altro formaggio a pasta semidura indigeno";"";"";"";"";"6";""
"1226";"1221";"8";"";"Ausländische Halbhartkäse";"Fromage à pâte mi-dure étranger";"Formaggio semiduro importato";"";"";"";"";"6";""
"1230";"1212";"6";"Fresh, soft and melted cheese";"Frisch-, Weich- und Schmelzkäse";"Fromage frais, à pâte molle et fondu";"Formaggio fresco, a pasta molle e fuso";"";"";"";"";"4";""
"1231";"1230";"7";"";"Frischkäse";"Fromage frais";"Formaggio fresco";"";"";"";"";"5";""
"1232";"1231";"8";"Mozzarella";"Mozzarella";"Mozzarella";"Mozzarella";"";"";"";"";"6";""
"1253";"1231";"8";"";"Quark";"Séré";"Quark";"";"";"";"";"5";""
"1254";"1253";"9";"";"Rahmquark";"Séré à la crème";"Quark alla panna";"";"";"";"";"6";""
"1255";"1253";"9";"";"Magerquark";"Séré maigre";"Quark magro";"";"";"";"";"6";""
"1256";"1253";"9";"";"Früchtequark";"Séré aux fruits";"Quark alla frutta";"";"";"";"";"6";""
"1234";"1231";"8";"";"Anderer Frischkäse";"Autre fromage frais";"Altro formaggio fresco";"";"";"";"";"6";""
"1235";"1230";"7";"";"Weichkäse";"Fromage à pâte molle";"Formaggio a pasta molle";"";"";"";"";"5";""
"1236";"1235";"8";"";"Weisschimmelkäse";"Fromage à pâte molle à croûte fleurie";"Formaggio a pasta molle a crosta fiorita";"";"";"";"";"6";""
"1237";"1235";"8";"";"Schmierkäse";"Fromage à pâte molle à croûte lavée";"Formaggio a pasta molle a crosta lavata";"";"";"";"";"6";""
"1238";"1235";"8";"";"Blauschimmelkäse";"Fromage persillé";"Formaggio venato";"";"";"";"";"6";""
"1239";"1230";"7";"";"Schmelzkäse";"Fromage fondu";"Formaggio fuso";"";"";"";"";"5";""
"1240";"1239";"8";"";"Fertigfondue";"Fondue prête à l'emploi";"Fondue pronto per l'uso";"";"";"";"";"6";""
"1241";"1239";"8";"";"Schachtelkäse";"Fromage fondu en portions";"Formaggio fuso in porzioni";"";"";"";"";"6";""
"1242";"1239";"8";"";"Anderer Schmelzkäse";"Autre fromage fondu";"Altro formaggio fuso";"";"";"";"";"6";""
"1246";"1198";"5";"Other dairy products";"Andere Milcherzeugnisse";"Autres produits laitiers";"Altri latticini";"";"";"";"";"4";""
"1247";"1246";"6";"";"Joghurt";"Yogourt";"Yogurt";"";"";"";"";"5";""
"1248";"1247";"7";"";"Joghurt, nature 120-180 gr";"Yogourt nature 120-180 gr";"Yogurt naturale 120-180 gr";"";"";"";"";"6";""
"1249";"1247";"7";"";"Joghurt aromatisiert oder mit Früchten 120-180 gr";"Yogourt arômatisé ou aux fruits 120-180 gr";"Yogurt aromatizzato o alla frutta 120-180 gr";"";"";"";"";"6";""
"1250";"1247";"7";"";"Joghurt, nature, 500 gr";"Yogourt nature 500 gr";"Yogurt naturale 500 gr";"";"";"";"";"6";""
"1251";"1247";"7";"";"Joghurt aromatisiert oder mit Früchten, 500 gr";"Yogourt arômatisé ou aux fruits, 500 gr";"Yogurt aromatizzato o alla frutta, 500 gr";"";"";"";"";"6";""
"1252";"1247";"7";"";"Andere Joghurts";"Autres yogourts";"Altri yogurt";"";"";"";"";"6";""
"1257";"1246";"6";"";"Milchdrinks";"Laits drink";"Latte drink";"";"";"";"";"5";""
"1258";"1257";"7";"";"Choco-Drink";"Lait au chocolat";"Choco-Drink";"";"";"";"";"6";""
"1259";"1257";"7";"";"Joghurt-Drink";"Yogourt drink";"Yogurt-Drink";"";"";"";"";"6";""
"1260";"1257";"7";"";"Andere Milchdrinks";"Autres laits drinks";"Altri latti drink";"";"";"";"";"6";""
"1261";"1246";"6";"";"Milchdessert";"Dessert lacté";"Budino";"";"";"";"";"6";""
"1265";"1198";"5";"Cream";"Rahm";"Crème";"Panna";"";"";"";"";"4";""
"1266";"1265";"6";"";"Vollrahm";"Crème entière";"Panna intera";"";"";"";"";"5";""
"1267";"1266";"7";"";"Vollrahm, verpackt, 1.8-2.5 dl";"Crème entière, en emballage, 1.8-2.5 dl";"Panna intera, confezione da 1.8-2.5 dl";"";"";"";"";"6";""
"1268";"1266";"7";"";"Vollrahm, verpackt, 5 dl";"Crème entière, en emballage, 5 dl";"Panna intera, confezione da 5 dl";"";"";"";"";"6";""
"1269";"1265";"6";"";"Kaffeerahm";"Crème pour le café";"Crema per caffè";"";"";"";"";"5";""
"1270";"1269";"7";"";"Kaffeerahm, verpackt, 1.8-2.5 dl";"Crème à café, en emballage, 1.8-2.5 dl";"Crema per caffè, confezione da 1.8-2.5 dl";"";"";"";"";"6";""
"1271";"1269";"7";"";"Kaffeerahm, Portionen";"Crème à café, en portions";"Crema per caffè, porzioni";"";"";"";"";"6";""
"1272";"1265";"6";"";"Halbrahm";"Demi-crème";"Panna scremata";"";"";"";"";"5";""
"1273";"1272";"7";"";"Halbrahm, verpackt, 1.8-2.5 dl";"Demi-crème, en emballage, 1.8-2.5 dl";"Panna scremata, confezione da 1.8-2.5 dl";"";"";"";"";"6";""
"1274";"1272";"7";"";"Halbrahm, verpackt, 5 dl";"Demi-crème, en emballage, 5 dl";"Panna scremata, confezione da 5 dl";"";"";"";"";"6";""
"1275";"1265";"6";"";"Andere Rahmsorten";"Autres crèmes";"Altri tipi di panna";"";"";"";"";"5";""
"1276";"1275";"7";"";"Crème fraîche";"Crème fraîche";"Panna acida";"";"";"";"";"6";""
"1278";"1198";"5";"Eggs";"Eier";"Oeufs";"Uova";"";"";"";"";"4";""
"1279";"1278";"6";"";"Inländische Eier";"Oeufs du pays";"Uova indigene";"";"";"";"";"6";""
"1280";"1278";"6";"";"Ausländische Eier";"Oeufs étrangers";"Uova importate";"";"";"";"";"6";""
"1284";"1001";"4";"Fats and edible oils";"Speisefette und -öle";"Graisses et huiles comestibles";"Grassi e oli commestibili";"";"";"";"";"3";""
"1285";"1284";"5";"Butter";"Butter";"Beurre";"Burro";"";"";"";"";"4";""
"1286";"1285";"6";"";"Vorzugsbutter";"Beurre de choix";"Burro speciale";"";"";"";"";"6";""
"1287";"1285";"6";"";"Die Butter (Kochbutter)";"Le beurre (beurre de cuisine)";"Il burro (burro da cucina)";"";"";"";"";"6";""
"1288";"1285";"6";"";"Bratbutter,  Bratcrème";"Beurre et graisse à rôtir";"Burro e grasso per arrostire";"";"";"";"";"6";""
"1289";"1285";"6";"";"Biobutter";"Beurre Bio";"Burro Bio";"";"";"";"";"6";""
"1293";"1284";"5";"Margarine, fats, edible oils";"Margarine, Speisefette und -öle";"Margarine, graisses, huiles comestibles";"Margarina, grassi e oli commestibili";"";"";"";"";"4";""
"1295";"1293";"6";"";"Margarine";"Margarine";"Margarina";"";"";"";"";"6";""
"1296";"1293";"6";"";"Speisefette";"Graisse comestible";"Grasso commestibile";"";"";"";"";"6";""
"1297";"1293";"6";"";"Speiseöl";"Huile comestible";"Olio commestibile";"";"";"";"";"5";""
"1298";"1297";"7";"";"Sonnenblumenöl";"Huile de tournesol";"Olio di girasole";"";"";"";"";"6";""
"1299";"1297";"7";"";"Olivenöl";"Huile d'olive";"Olio d'oliva";"";"";"";"";"6";""
"1302";"1297";"7";"";"Rapsöl";"Huile de colza";"Olio di colza";"";"";"";"";"6";""
"1301";"1297";"7";"";"Andere Öle";"Autres huiles";"Altri oli";"";"";"";"";"6";""
"1305";"1001";"4";"Fruit, vegetables, potatoes and mushrooms";"Früchte, Gemüse, Kartoffeln und Pilze";"Fruits, légumes, pommes de terre et champignons";"Frutta, verdura, patate e funghi";"";"";"";"";"3";""
"1306";"1305";"5";"Fruits";"Früchte";"Fruits";"Frutta";"";"";"";"";"3";""
"1307";"1306";"6";"Fresh fruit";"Frische Früchte";"Fruits frais";"Frutta fresca";"";"";"";"";"3";""
"1308";"1307";"7";"Citrus fruit";"Zitrusfrüchte";"Agrumes";"Agrumi";"";"";"";"";"4";""
"1309";"1308";"8";"";"Orangen";"Oranges";"Arance";"";"";"";"";"6";""
"1310";"1308";"8";"";"Mandarinen, Clementinen";"Mandarines, clémentines";"Mandarini, clementine";"";"";"";"";"6";""
"1314";"1308";"8";"Lemons";"Zitronen";"Citrons";"Limoni";"";"";"";"";"5";""
"1311";"1314";"9";"";"Zitronen (Stk)";"Citrons (pce)";"Limoni (pezzo)";"";"";"";"";"6";""
"1313";"1314";"9";"";"Zitronen (kg)";"Citrons (kg)";"Limoni (kg)";"";"";"";"";"6";""
"1312";"1308";"8";"";"Grapefruit";"Pamplemousses";"Pompelmi";"";"";"";"";"6";""
"1316";"1307";"7";"Stone fruit";"Steinobst";"Fruits à noyaux";"Frutta con nocciolo";"";"";"";"";"4";""
"1317";"1316";"8";"";"Nektarinen";"Nectarines";"Pesche noci";"";"";"";"";"6";""
"1318";"1316";"8";"";"Aprikosen";"Abricots";"Albicocche";"";"";"";"";"6";""
"1319";"1316";"8";"";"Pfirsiche";"Pêches";"Pesche";"";"";"";"";"6";""
"1320";"1316";"8";"";"Kirschen";"Cerises";"Ciliegie";"";"";"";"";"6";""
"1321";"1316";"8";"";"Zwetschgen";"Pruneaux";"Prugne";"";"";"";"";"6";""
"1322";"1316";"8";"";"Pflaumen";"Prunes";"Susine";"";"";"";"";"6";""
"1325";"1307";"7";"Pome fruit";"Kernobst";"Fruits à pépins";"Frutta a semi";"";"";"";"";"4";""
"1326";"1325";"8";"";"Äpfel";"Pommes";"Mele";"";"";"";"";"5";""
